"","ngrip_age","ngrip_oxy18"
"430",8.62,-34.18
"431",8.64,-35.02
"432",8.66,-35.46
"433",8.68,-35.21
"434",8.7,-34.01
"435",8.72,-34.92
"436",8.74,-34.49
"437",8.76,-35.34
"438",8.78,-34.21
"439",8.8,-35.57
"440",8.82,-35.22
"441",8.84,-34.08
"442",8.86,-35.15
"443",8.88,-34.57
"444",8.9,-34.17
"445",8.92,-34.3
"446",8.94,-34.71
"447",8.96,-34.57
"448",8.98,-34.47
"449",9,-34.68
"450",9.02,-35.57
"451",9.04,-35.18
"452",9.06,-34.92
"453",9.08,-34.73
"454",9.1,-34.61
"455",9.12,-34.98
"456",9.14,-34.47
"457",9.16,-34.34
"458",9.18,-34.7
"459",9.2,-34.83
"460",9.22,-34.92
"461",9.24,-35.62
"462",9.26,-35.66
"463",9.28,-36.05
"464",9.3,-35.19
"465",9.32,-35.04
"466",9.34,-34.91
"467",9.36,-34.56
"468",9.38,-34.87
"469",9.4,-34.8
"470",9.42,-34.83
"471",9.44,-35.12
"472",9.46,-35.12
"473",9.48,-34.92
"474",9.5,-34.66
"475",9.52,-35.01
"476",9.54,-34.56
"477",9.56,-34.98
"478",9.58,-35.13
"479",9.6,-34.95
"480",9.62,-34.77
"481",9.64,-34.96
"482",9.66,-34.85
"483",9.68,-34.84
"484",9.7,-34.62
"485",9.72,-34.68
"486",9.74,-34.87
"487",9.76,-34.66
"488",9.78,-34.49
"489",9.8,-35.12
"490",9.82,-35.37
"491",9.84,-35.22
"492",9.86,-34.54
"493",9.88,-35.06
"494",9.9,-35.26
"495",9.92,-34.85
"496",9.94,-35.46
"497",9.96,-34.65
"498",9.98,-35.1
"499",10,-34.94
"500",10.02,-35.11
"501",10.04,-35.79
"502",10.06,-35.21
"503",10.08,-35.32
"504",10.1,-35.29
"505",10.12,-35.45
"506",10.14,-34.99
"507",10.16,-35.02
"508",10.18,-34.89
"509",10.2,-35.93
"510",10.22,-35.54
"511",10.24,-36.33
"512",10.26,-36.39
"513",10.28,-36.01
"514",10.3,-36.01
"515",10.32,-35.2
"516",10.34,-36.12
"517",10.36,-36.19
"518",10.38,-36.36
"519",10.4,-35.96
"520",10.42,-36.12
"521",10.44,-36.04
"522",10.46,-35.53
"523",10.48,-36.34
"524",10.5,-35.47
"525",10.52,-35.73
"526",10.54,-35.86
"527",10.56,-36
"528",10.58,-35.88
"529",10.6,-36.11
"530",10.62,-36.13
"531",10.64,-36.16
"532",10.66,-35.49
"533",10.68,-35.77
"534",10.7,-36.05
"535",10.72,-36.45
"536",10.74,-35.88
"537",10.76,-36.21
"538",10.78,-36.84
"539",10.8,-35.83
"540",10.82,-36.59
"541",10.84,-36.09
"542",10.86,-37.23
"543",10.88,-37.6
"544",10.9,-37.25
"545",10.92,-37.15
"546",10.94,-36.99
"547",10.96,-38.02
"548",10.98,-36.53
"549",11.02,-36.44
"550",11.04,-36.65
"551",11.06,-36.89
"552",11.08,-37.1
"553",11.1,-36.71
"554",11.12,-36.43
"555",11.14,-37.14
"556",11.16,-36.62
"557",11.18,-37.24
"558",11.2,-37.39
"559",11.22,-37.6
"560",11.24,-36.58
"561",11.26,-36.15
"562",11.28,-36.59
"563",11.3,-37.54
"564",11.32,-36.67
"565",11.34,-36.91
"566",11.36,-37.45
"567",11.38,-37.63
"568",11.4,-37.12
"569",11.42,-38.47
"570",11.44,-38.25
"571",11.46,-38.72
"572",11.48,-37.42
"573",11.5,-37.84
"574",11.52,-36.9
"575",11.54,-36.59
"576",11.56,-36.88
"577",11.58,-36.78
