begin_age	end_age	events
3.601	3.651	['Middle Bronze II c', 'Middle Bronze II b ', 'Alishar Becomes Part of the Hittite Kingdom']
3.651	3.701	['Hittite kingdoms', 'Minoan (Crete) - Neopalatial', 'Wadi Suq period', 'Early Dilmun (Barbar)']
3.701	3.751	[]
3.751	3.801	['--', 'Hyksos conquer Egypt', 'Sobeknofru, first female pharoah, dies', 'Hammurapi inherits kingship of Babylon', 'Middle Bronze II b ', 'Middle Bronze II a ', 'TOP', 'Late Harappan', 'Western European Earlier Bronze Age (Tumulus Culture)', 'Northeastern European Bronze Age (Komarov, Trzciniec, Textile Pottery)', 'Scandinavian Bronze Age', 'Late Sierra Nevada', 'Preclassic Maya']
3.801	3.851	['Shamshi-Adad I']
3.851	3.901	['Localization era begins', 'Vedic (Ganges Neolithic)']
3.901	3.951	[]
3.951	4.001	['Middle Kingdom', 'Menthotpe I regains Double Crown', 'Dry Sahara desert', 'North African Protohistoric', 'West African Neolithic', 'Middle Bronze Age', 'TOP', 'EB4 (Early Bronze 4/ Intermediate Bronze/Middle Bronze Age 1)', 'Amuq Phases K-M', 'Canaanite and Amorite dynasties', 'Middle Helladic culture', 'Minoan (Crete) - Protopalatial', 'Middle Bronze Age', 'Assyrian / Babylonian period', 'Old Assyrian / Babylonian period', 'Fall of Ur to the Amorites.', 'Umm-an-Nar Period', 'TOP', 'Mumun', 'Mumum (New Guinea)', 'TOP', 'TOP', 'Wessex culture in British Isles', 'Andronovo', 'Scythian', 'TOP', 'Tarya Neolithic', 'Eastern Arctic Small Tool', 'Kodiak (Kachemak)', 'TOP', 'TOP', 'Highland Mesoamerican Early Preclassic', 'Highland Mesoamerican Early Preclassic', 'Highland Mesoamerican Early Preclassic', 'Highland Mesoamerican Early Preclassic']
4.001	4.051	[]
4.051	4.101	['Ur III', 'Ur-Nammu founds the third dynasty of Ur.', 'Top', 'Top', 'Xia Dynasty?', 'Formative', 'Coastal Andean Early Formative']
4.101	4.151	[]
4.151	4.201	['TOP', '4.2 ka climate event', '--', 'Death of Pepi II; disintegration of Memphite regime', '4.2 ka Cool (Ultra-Dry) event', 'Late', 'TOP', 'Late Arabian Pastoral', 'Early Dilmun (Barbar)', 'Early Xiajiadian (Xiajiadian Xiaceng)', '4.2 ka']
4.201	4.251	[]
4.251	4.301	['Naram-Suen', 'EB3 (Early Bronze 3)']
4.301	4.351	['Akkadian', 'Sargon', 'Longshan', 'Longshan']
4.351	4.401	[]
4.401	4.451	[]
4.451	4.501	['Mes-Ane-pada', 'Alishar Grows in Size', 'Ganges Neolithic (Ganges Neolithic \xd0 Chalcolithic) ', 'TOP', 'Jomon (IMiddle)', 'Bell Beaker people', 'TOP', 'Bell Beaker people', 'Ertbolle', 'Highland Andean Late Archaic (Late Preceramic, Terminal Late Archaic, Late Archaic, Transitional)']
4.501	4.551	['Khufu (Cheops)', 'Early Dynastic III Mesopotamia (Sumerian)']
4.551	4.601	['Mature Harappan', 'Large new urban centers', 'Widespread abandonment of sites', 'Kot Diji Phase']
4.601	4.651	['Old Kindom (pyramids)', 'Sanakhte or Nebka, establishes 3rd Dynasty', 'Historic period', 'EB3 (Early Bronze 3)', 'EB2 (Early Bronze 2)', 'Early Dynastic II Mesopotamia (Sumerian)']
4.651	4.701	['European Early Bronze Age', 'Arctic Small Tool', 'Western Arctic Small Tool']
4.701	4.751	['Amuq Phases H-J']
4.751	4.801	['Kot Diji Phase', 'Hakra Phase', 'Ravi Phase']
4.801	4.851	[]
4.851	4.901	['Central African Neolithic', 'Sumerian', 'Early Dynastic I Mesopotamia (Sumerian)']
4.901	4.951	[]
4.951	5.001	['East African Neolithic', 'Early Helladic culture (Early Bronze age)', 'Minoan (Crete) - Prepalatial', 'Copper and Bronze Age', 'Iranian Bronze Age', 'Umm-an-Nar period', 'Amri Phase', 'Central Indian Chalcolithic', 'South Indian Chalcolithic', 'Farming communities', "Old Itel'men", 'Tucaunon', 'Late East Brazilian Uplands']
5.001	5.051	['EB2 (Early Bronze 2)', 'EB1 (Early Bronze 1)']
5.051	5.101	['Early Bronze Age', 'Bronze Age', 'Southeastern European Bronze Age']
5.101	5.151	['Egyptian Dynasties', 'Early Dynastic', 'Unification; Menes (Scorpion King?)', 'Dry Sahara desert']
5.151	5.201	['Khartoum Neolithic', 'Harappan', 'Early Harappan (early Indus Chalcolithic)']
5.201	5.251	[]
5.251	5.301	['Bronze Age', 'Dynasty 0']
5.301	5.351	[]
5.351	5.401	[]
5.401	5.451	[]
5.451	5.501	['Gerzeans (agriculture)', 'Historic period', 'Early Bronze Age', 'EB1 (Early Bronze 1)', 'TOP', 'Kura-Araxes culture', 'TOP', 'TOP', 'Ravi Phase', 'Balakot Phase ', 'Southeast China Late Neolithic', 'Southeast China Late Neolithic', 'Middle Northwest Coast', 'Late Northwest South American Littoral', 'Late Northwest South American Littoral']
5.501	5.551	[]
5.551	5.601	['Amri Phase', 'Hakra Phase', 'Kongmeose', 'Caucasian Bronze Age']
5.601	5.651	[]
5.651	5.701	['Southeastern European Late Chalcolithic']
5.701	5.751	['Middle Arabian Pastoral']
5.751	5.801	['Late Chalcolithic Mesopotamia']
5.801	5.851	[]
5.851	5.901	['Late Iranian Chalcolithic', '5.9 ka']
5.901	5.951	[]
